[pec 98/2007]: Conhecida como PEC da Música. Altera a Constituição Federal de 1988. 
Ementa: Acrescenta a alínea "e" ao inciso VI do art. 150 da Constituição Federal, instituindo imunidade tributária sobre os Fonogramas e Videofonogramas musicais produzidos no Brasil, contendo obras musicais ou lítero-musicais de autores brasileiros, e/ou obras em geral interpretadas por artistas brasileiros, bem como os suportes materiais ou arquivos digitais que os contenham. 
Situação: MESA - Aguardando Retorno 
************
PSC: 	 Sim: 0 	 Não: 9 	 Abstenções: 0
PSD: 	 Sim: 0 	 Não: 36 	 Abstenções: 0
PHS: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PSOL: 	 Sim: 3 	 Não: 0 	 Abstenções: 0
************
[8/11/2011, 00:37] Aprovado o destaque de preferência para a PEC 61/2011. Sim: 358; não: 13; abstenção: 01; total: 372.
PCdoB: 	 Sim: 11 	 Não: 0 	 Abstenções: 0
DEM: 	 Sim: 0 	 Não: 1 	 Abstenções: 0
PMDB: 	 Sim: 66 	 Não: 1 	 Abstenções: 0
PR: 	 Sim: 27 	 Não: 0 	 Abstenções: 0
PP: 	 Sim: 27 	 Não: 1 	 Abstenções: 0
PV: 	 Sim: 9 	 Não: 0 	 Abstenções: 0
PT: 	 Sim: 82 	 Não: 0 	 Abstenções: 0
PRB: 	 Sim: 8 	 Não: 0 	 Abstenções: 0
PTC: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTB: 	 Sim: 16 	 Não: 1 	 Abstenções: 0
PPS: 	 Sim: 1 	 Não: 1 	 Abstenções: 0
PRP: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PMN: 	 Sim: 2 	 Não: 0 	 Abstenções: 0
PSDB: 	 Sim: 0 	 Não: 3 	 Abstenções: 1
PDT: 	 Sim: 21 	 Não: 2 	 Abstenções: 0
PRTB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PTdoB: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSB: 	 Sim: 28 	 Não: 0 	 Abstenções: 0
PSC: 	 Sim: 13 	 Não: 0 	 Abstenções: 0
PSD: 	 Sim: 42 	 Não: 0 	 Abstenções: 0
PHS: 	 Sim: 1 	 Não: 0 	 Abstenções: 0
PSOL: 	 Sim: 0 	 Não: 3 	 Abstenções: 0
************
[8/11/2011, 01:13] Rejeitada a Emenda Modificativa nº 1. Sim: 12; não: 353; abstenção: 01; total: 366.
